question,axis,declared,shipped,expect_refusal,holdout,holdout_labelled,control,closure_ok,blocks,columns,removed_from_inputs,refusal,reason
"Can the map recover which genes are GRA17 synthetic-lethal candidates, validated against the size of the GRA17 fitness delta?",host interaction,drop,False,False,crispr_gra17_candidate,7553,crispr_gra17_synthlethal_delta,False,0,0,0,the validation holdout 'crispr_gra17_synthlethal_delta' is not independent of the primary 'crispr_gra17_candidate' -- shared experiment (gra17_synthlethal). A control that is a copy controls nothing,drop - criterion 4: crispr_gra17_candidate and crispr_gra17_synthlethal_delta both carry 7553 labelled genes because they are the call and the effect size from one GRA17 synthetic-lethal screen. A control that is a thresholded copy of the primary controls nothing - the same failure mode as the six LOPIT views.
"Which genes become essential when the PV pore is lost - which unlabelled genes cluster with the GRA17-knockout fitness phenotype, checked against baseline fitness in fibroblasts?",host interaction,uncertain,False,False,crispr_gra17ko_phenotype,7553,fit_invitro_hff,True,20,58,0,,"uncertain - the existence of crispr_gra17_synthlethal_delta implies crispr_gra17ko_phenotype (7553 labelled) is differenced against a wild-type fitness arm, and fit_invitro_hff (7325 labelled) is the obvious candidate for that arm; if it is, this pairs a screen with its own baseline and fails criterion 4, the stage_enriched_derived trap in another guise. The labelled counts differ (7553 vs 7325) so I cannot show from the CSVs that they are or are not one experiment. Resolve by checking whether the delta column equals gra17ko_phenotype minus fit_invitro_hff."
Which parasite genes drive the host cell's transcriptional response to infection?,host interaction,drop,False,False,hosttx_T2,252,hosttx_padj,False,0,0,0,the validation holdout 'hosttx_padj' is not independent of the primary 'hosttx_T2' -- shared experiment (hosttx_effectors). A control that is a copy controls nothing,"drop - twice blocked. hosttx_T2 and hosttx_padj each have 252 labelled genes (3.1% of 8140), so a cluster needs about 480 genes before it carries the 15 labelled genes required to score, and they are the statistic and the p-value of one host-transcriptome experiment, so as a pair they fail criterion 4. Acquisition target: extend host-response profiling from 252 parasite genes to a genome-scale perturbation-by-host-transcriptome matrix, and add a second, independent host-response readout (e.g. host proteomics) to serve as control."
Which effectors are exported as soluble cargo rather than in vesicles - which unlabelled genes cluster with the soluble half of the secretome?,host interaction,drop,False,False,secretome_soluble_over_vesicle_log2,165,,True,19,57,1,,"drop - secretome_soluble_over_vesicle_log2 has 165 labelled genes (2.0%); no cluster short of about 740 genes carries the 15 labelled genes needed to score it, and the table holds no second secretion-route label to control with, so the recipe has no validation half at all. Acquisition target: genome-scale secretome/vesicle fractionation, plus any independent export-route assay (e.g. selective permeabilisation or a reporter export screen) as control."
Which unlabelled genes are needed for egress from the host cell - which genes cluster with the egress-defective hits from the imaging screen?,host interaction,drop,False,False,screen_egress_phenotype,318,screen_replication_phenotype,False,0,0,0,the validation holdout 'screen_replication_phenotype' is not independent of the primary 'screen_egress_phenotype' -- shared experiment (splitcas9_imaging_screen). A control that is a copy controls nothing,"drop - criterion 4 plus sparsity. All five screen_* columns carry exactly 318 labelled genes because they are five phenotypes scored in ONE 318-gene imaging screen, so primary and control are one experiment; and 318 labelled (3.9%) means clusters below about 385 genes abstain on both halves. Acquisition target: a genome-scale egress screen, and an independent egress readout from a different platform for the control."
Which genes act with GRA12 to keep the vacuole intact in vivo - which unlabelled genes cluster with the GRA12 screen hits?,host interaction,drop,False,False,crispr_gra12s1_l2fc_invivo,236,crispr_gra12s2_l2fc_invivo,False,0,0,0,the validation holdout 'crispr_gra12s2_l2fc_invivo' is not independent of the primary 'crispr_gra12s1_l2fc_invivo' -- shared experiment (gra12). A control that is a copy controls nothing,"drop - 236 and 232 labelled genes (about 2.9%) put both halves far below the 15-labelled-genes-per-cluster floor, and s1/s2 are two sublibraries of one GRA12 screen, so they are one experiment (criterion 4). This is the same shape of failure as the epitope columns: a real, interesting label that only covers a targeted gene set. Acquisition target: run the GRA12-background screen at genome scale."
Which genes are transcriptionally tuned to the macrophage niche - can the map recover macrophage expression rank?,host interaction,drop,False,False,macrophage_expression_percentile,8140,fit_naive_bmdm,True,33,66,2,,"drop - criteria 1 and 5: macrophage_expression_percentile is labelled for all 8140 genes, so there are no unlabelled genes for the map to nominate and the recipe can only re-describe a measurement that already exists for every gene. It cannot come back with a gene list anyone would act on. A fully labelled column like this is fine as a CONTROL (it scores on every cluster) and useless as a primary."
"Which proteins are host-interaction hubs, using the number of BioID studies that recovered a protein as the label?",host interaction,drop,False,False,n_bioid_studies,8140,pvm_proximity_positive,True,28,200,1,,"drop - n_bioid_studies counts how often a protein has been pulled into someone's proximity experiment; it is the attention_depth trap wearing a host-interaction label, and a hit here means the protein was studied, not that it is a hub. It is also labelled for all 8140 genes, so nothing can be nominated, and it shares its underlying assay with the pvm_proximity_positive control, so the pair is not independent either."
Are the lineage-specific genes the effectors - can functional measurements predict which genes lack apicomplexan orthologs?,host interaction,drop,False,False,lineage_specific,8140,has_cp_ortholog,True,46,197,3,,"drop - three ways. lineage_specific is labelled for all 8140 genes so there is nothing to nominate; it is computed from has_pf_ortholog/has_cp_ortholog so the control is its own input (criterion 4); and the sequence-structure-and-evolution input category holds the orthology columns themselves, restating the holdout (criterion 3)."
Which proteins respond to the calcium signal that triggers egress - which unlabelled genes cluster with the calcium-shifted thermal-stability set?,host interaction,drop,False,False,cetsa_calcium_ed_score,2348,screen_egress_phenotype,True,20,58,0,,"drop - the primary half is fine (cetsa_calcium_ed_score has 2348 labelled at 3 bins with 5792 genes left to nominate) but the ONLY independent egress label in the table, screen_egress_phenotype, has 318 labelled genes (3.9%) and will abstain on essentially every cluster, so the recipe has no validation. This one is a single acquisition away from being a keep: a genome-scale egress or motility screen would turn it into a strong question."
Which parasite proteins change abundance across the first 48 hours of infection - which unlabelled genes cluster with the strongly regulated set?,host interaction,uncertain,False,False,proteome_lfc_UT_Vs_T_24h_log2_fold_change,3005,proteome_log2_normalized_and_imputated_abundances_T_48h_R1,False,0,0,0,the validation holdout 'proteome_log2_normalized_and_imputated_abundances_T_48h_R1' is not independent of the primary 'proteome_lfc_UT_Vs_T_24h_log2_fold_change' -- shared experiment (proteome_total). A control that is a copy controls nothing,"uncertain - I cannot tell from the CSVs what UT vs T is: untreated vs infected HOST cells, or an untreated vs treated parasite culture. If the rows are host genes the question is not answerable on this table at all (criterion 6); if they are parasite proteins the primary is viable at 3005 labelled with 5135 to nominate. Separately, the control I named is certainly wrong - the abundance and log-fold-change columns share the 3005-gene footprint of one proteomics run (criterion 4), so a kept version would need a control from a different experiment entirely."
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,fitness and essentiality,keep,True,False,fit_ifng,7402,fit_invivo_spleen,True,40,218,0,,"keep - fit_ifng has 7402 labelled at 3 bins and leaves 738 unlabelled to nominate, so it scores on any cluster of about 20 genes; the control is a separate in-vivo tissue selection (7395 labelled) rather than the paired naive-macrophage arm of the same screen, and every fitness and genetic-screen input category is excluded so nothing restates the label. This is the densest genuinely immunological label in the table and is the main reason this axis is not entirely blocked. Residual risk to state: both halves are pooled CRISPR screens, so the independence is of experiment, not of method. [re-axed: its holdout is a fitness screen, not an immunity measurement]"
Which genes are needed specifically when macrophages are activated - can the map separate the IFN-gamma requirement from the baseline macrophage requirement?,immunity and antigenicity,drop,False,False,fit_ifng,7402,fit_naive_bmdm,False,0,0,0,the validation holdout 'fit_naive_bmdm' is not independent of the primary 'fit_ifng' -- shared experiment (crispr_macrophage). A control that is a copy controls nothing,"drop - criterion 4: fit_ifng and fit_naive_bmdm both carry 7402 labelled genes because they are the treated and untreated arms of one macrophage screen. Two arms of one experiment are not two observations, and here they are worse than a copy - the biology of interest is the difference between them, so a cluster that recovers one recovers the other by construction."
Which genes are selected against during chronic infection of the brain - which unlabelled genes cluster with the genes the parasite needs to persist under immune control?,fitness and essentiality,keep,False,False,brain168465_14d_lfc,7334,fit_invivo_PE,True,23,90,0,,"keep - brain168465_14d_lfc has 7334 labelled at 3 bins with 806 unlabelled to nominate; the control is a different in-vivo screen (peritoneal exudate, 7395 labelled) from a different accession, and the primary's own 1d/2d/4d/7d timepoints are deliberately NOT used as control because they are the same screen. Inputs carry no fitness or screen data. The two niches differ enough (chronic CNS vs acute peritoneum) that the control can genuinely fail. [re-axed: its holdout is a fitness screen, not an immunity measurement]"
Which unlabelled genes defend the parasite against oxidative attack - which genes cluster with the hits from the oxidative-stress screen?,fitness and essentiality,keep,False,False,oxidative_stress_screen_score,7384,fit_ifng,True,35,203,0,,"keep - oxidative_stress_screen_score has 7384 labelled at 3 bins with 756 unlabelled to nominate; the control is a different challenge in a different system (cytokine-activated macrophages vs a chemical oxidative challenge) and the expectation that ROS-defence genes also matter in activated macrophages is a real prediction that can come back false. Genetic-screen, fitness and chemical-response input categories are all excluded so neither half is restated. [re-axed: its holdout is a fitness screen, not an immunity measurement]"
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",fitness and essentiality,keep,True,False,fit_invivo_liver,7395,macrophage_expression_percentile,True,27,93,1,,"keep - and it is the best-controlled question on this axis because primary and control are different measurement types: fit_invivo_liver is a CRISPR fitness screen (7395 labelled, 745 unlabelled to nominate) and macrophage_expression_percentile is a transcript rank labelled for all 8140 genes, so the control scores on every cluster and cannot be a restatement of the primary. RNA inputs are excluded because they would restate the control; screen and fitness inputs are excluded because they would restate the primary. [re-axed: its holdout is a fitness screen, not an immunity measurement]"
Which uncharacterised proteins are antigenic - which unlabelled genes fall in clusters dominated by proteins with catalogued T-cell epitopes?,immunity and antigenicity,drop,False,False,iedb_epitope_count,221,,True,29,201,0,,"drop - the label exists but is too sparse to score. iedb_epitope_count is labelled for 221 of 8140 genes (2.7%) and collapses to only 2 classes when binned into 3; a cluster needs >=15 labelled genes to be evaluated at all, which at that density means a cluster of about 550 genes, and in a measured run on this table no cluster reached it - the epitope column abstained on every cluster. This is the single most damaging gap on this axis: the biologically obvious question is unanswerable for want of coverage, not for want of a method. Acquisition target: genome-scale epitope mapping - MHC immunopeptidomics of infected cells, or proteome-wide peptide arrays - to lift labelled genes from 221 to at least a couple of thousand, which is where cluster scoring starts to work."
Which proteins carry B-cell epitopes - which unlabelled genes cluster with the antibody-recognised set?,immunity and antigenicity,drop,False,False,n_bcell_epitopes,34,,True,9,41,0,,"drop - criterion 2, outright. n_bcell_epitopes has 34 labelled genes and appears in NEITHER inventory CSV, meaning it does not even form two classes of >=15 members, so it is not a legal holdout and is not answerable from this table (criterion 6). Acquisition target: a proteome-wide B-cell epitope or seroreactivity dataset; nothing short of that makes this column usable in any role, primary or control."
Which proteins carry both T-cell and B-cell epitopes - the shortlist a vaccine programme would start from?,immunity and antigenicity,drop,False,False,iedb_epitope_count,221,n_bcell_epitopes,False,0,0,0,the validation holdout 'n_bcell_epitopes' is not independent of the primary 'iedb_epitope_count' -- measured association. A control that is a copy controls nothing,"drop - doubly blocked, and worth recording as the worst case on this axis. The primary has 221 labelled genes (2.7%) and abstains on almost every cluster; the control has 34 labelled genes, fails the >=2 classes of >=15 test entirely, and is explicitly refused as a validation holdout in the brief. Both halves need new data before the question exists, so it cannot be rescued by swapping inputs or bins."
Which unannotated genes behave like SRS surface antigens - which domainless genes cluster with the SRS/SAG family by expression and behaviour rather than by sequence?,immunity and antigenicity,drop,False,False,interpro_desc,4957,iedb_epitope_count,True,26,188,0,,"drop - the control kills it, not the primary. iedb_epitope_count (221 labelled) is explicitly refused as a validation holdout because no cluster reaches the 15 control-labelled genes needed to evaluate. The primary half is genuinely viable: interpro_desc has 4957 labelled with SRS-domain classes among its largest, leaves 3183 domainless genes to nominate, and with only expression and regulation inputs nothing sequence-derived restates it. Record it as one dense antigenicity label away from being a keep - the same acquisition that unblocks the epitope questions unblocks this one."
Which domainless genes are surface antigens - validated against where the LOPIT map puts them?,immunity and antigenicity,drop,False,False,interpro_desc,4957,compartment_best,True,25,187,0,,"drop - criterion 4: an SRS/SAG domain call all but determines a plasma-membrane or secretory LOPIT assignment, so compartment_best is a downstream consequence of the primary rather than an independent observation of the same biology - confirming it would confirm nothing. The brief's own trap note makes the direction explicit: sequence-derived labels predict localisation. Any sequence-derived input would additionally restate interpro_desc (criterion 3)."
"Which genes are immune-recognised, built from the host-immunity relational measurements?",immunity and antigenicity,drop,False,False,iedb_epitope_count,221,,False,3,0,2,these inputs restate a holdout and were removed entirely rather than trimmed: evidence: relational measurements > host immunity; biology: host recognition > stage-unspecified,"drop - criterion 3 on top of the sparsity. The epitope counts are what the host-immunity relational category contains, so those inputs restate the holdout and the map would recover the label by carrying it; and with 221 labelled genes (2.7%) it could not be scored even if the inputs were clean. This also records a structural fact about the axis: the only host-immunity input block in the table is the same 221-gene block that would have to be the holdout, so inputs and label cannot be separated here."
"Which genes are antigenic, predicted from how heavily they have been studied?",immunity and antigenicity,drop,False,False,iedb_epitope_count,221,lit_tier,False,3,0,0,these inputs have no columns in this build: biology: provenance and analysis metadata > stage-unspecified,"drop - the attention trap, twice. attention_depth and lit_tier measure how much a gene has been written about and are never inputs; worse, epitope curation is itself a function of study depth, so any apparent success is a publication artefact rather than immunology. lit_tier is also not independent of the primary for exactly that reason (criterion 4), and the 221-gene primary is unscoreable regardless."
"Which genes are needed late rather than early during brain infection - which unlabelled genes cluster with the 14-day dropouts, checked against day 1?",immunity and antigenicity,drop,False,False,brain168465_14d_lfc,7334,brain168465_1d_lfc,False,0,0,0,the validation holdout 'brain168465_1d_lfc' is not independent of the primary 'brain168465_14d_lfc' -- shared experiment (gse168465). A control that is a copy controls nothing,"drop - criterion 4: brain168465 1d/2d/4d/7d/14d are timepoints of ONE in-vivo brain screen (labelled counts step down 6908/7055/7369/7393/7334 as coverage drops with time, not because they are different studies). Two readouts of one experiment are not two observations. The keep-shaped version of this question uses fit_invivo_PE, a different screen, as the control."
Which proteins are recognised by antibodies from chronically infected people - the seroreactive proteome?,immunity and antigenicity,drop,False,False,,0,,False,0,0,0,the holdout '' is not a column in this table,"drop - criterion 6: there is no seroreactivity or serology column anywhere in either inventory. The nearest thing, iedb_epitope_count (221 genes), is a curation of previously published epitopes rather than a genome-wide measurement, and n_bcell_epitopes (34 genes) is smaller still. Acquisition target, and the highest-value one for this axis: a proteome-wide serological array run against human chronic-infection sera - it would supply both a dense primary and, alongside T-cell epitope mapping, the independent control that every other antigenicity question here is missing."
Which genes are immune-visible in vivo - do host-recognition annotations plus protein abundance predict which genes are selected against in the spleen?,immunity and antigenicity,uncertain,False,False,fit_invivo_spleen,7395,macrophage_expression_percentile,True,11,43,0,,"uncertain - the holdout and control are both fine (7395 and 8140 labelled, different measurement types), but I cannot tell from the CSVs which columns sit under 'host recognition > stage-unspecified'. If that address holds the 221-gene IEDB block it contributes almost nothing at 2.7% coverage and the recipe collapses into a protein-abundance recipe wearing an immunology label; if it holds a dense host-recognition annotation it is a keep as written. Resolve by listing the columns mapped to that address before running it - a guess either way costs more than the abstention."
